id,g,slot
bronze_hatchet,axe,weapon
bronze_pickaxe,pick,weapon
bronze_dagger,dagger,weapon
bronze_sword,sword,weapon
bronze_scimitar,scim,weapon
bronze_longsword,lsword,weapon
bronze_mace,mace,weapon
bronze_battleaxe,baxe,weapon
bronze_warhammer,wham,weapon
bronze_claws,claws,weapon
bronze_2h_sword,sword2h,weapon
bronze_halberd,halberd,weapon
bronze_spear,spear,weapon
bronze_hasta,spear,weapon
bronze_med_helm,helm,head
bronze_full_helm,fhelm,head
bronze_platebody,body,body
bronze_chainbody,chain,body
bronze_platelegs,legs,legs
bronze_plateskirt,skirt,legs
bronze_kiteshield,shield,shield
bronze_sq_shield,sqshield,shield
bronze_defender,defender,shield
bronze_gauntlets,glove,hands
iron_hatchet,axe,weapon
iron_pickaxe,pick,weapon
iron_dagger,dagger,weapon
iron_sword,sword,weapon
iron_scimitar,scim,weapon
iron_longsword,lsword,weapon
iron_mace,mace,weapon
iron_battleaxe,baxe,weapon
iron_warhammer,wham,weapon
iron_claws,claws,weapon
iron_2h_sword,sword2h,weapon
iron_halberd,halberd,weapon
iron_spear,spear,weapon
iron_hasta,spear,weapon
iron_med_helm,helm,head
iron_full_helm,fhelm,head
iron_platebody,body,body
iron_chainbody,chain,body
iron_platelegs,legs,legs
iron_plateskirt,skirt,legs
iron_kiteshield,shield,shield
iron_sq_shield,sqshield,shield
iron_defender,defender,shield
iron_boots,boot,feet
iron_gauntlets,glove,hands
steel_hatchet,axe,weapon
steel_pickaxe,pick,weapon
steel_dagger,dagger,weapon
steel_sword,sword,weapon
steel_scimitar,scim,weapon
steel_longsword,lsword,weapon
steel_mace,mace,weapon
steel_battleaxe,baxe,weapon
steel_warhammer,wham,weapon
steel_claws,claws,weapon
steel_2h_sword,sword2h,weapon
steel_halberd,halberd,weapon
steel_spear,spear,weapon
steel_hasta,spear,weapon
steel_med_helm,helm,head
steel_full_helm,fhelm,head
steel_platebody,body,body
steel_chainbody,chain,body
steel_platelegs,legs,legs
steel_plateskirt,skirt,legs
steel_kiteshield,shield,shield
steel_sq_shield,sqshield,shield
steel_defender,defender,shield
steel_boots,boot,feet
steel_gauntlets,glove,hands
black_hatchet,axe,weapon
black_dagger,dagger,weapon
black_sword,sword,weapon
black_scimitar,scim,weapon
black_longsword,lsword,weapon
black_mace,mace,weapon
black_battleaxe,baxe,weapon
black_warhammer,wham,weapon
black_claws,claws,weapon
black_2h_sword,sword2h,weapon
black_halberd,halberd,weapon
black_spear,spear,weapon
black_med_helm,helm,head
black_full_helm,fhelm,head
black_platebody,body,body
black_chainbody,chain,body
black_platelegs,legs,legs
black_plateskirt,skirt,legs
black_kiteshield,shield,shield
black_sq_shield,sqshield,shield
black_defender,defender,shield
black_boots,boot,feet
black_gauntlets,glove,hands
mithril_hatchet,axe,weapon
mithril_pickaxe,pick,weapon
mithril_dagger,dagger,weapon
mithril_sword,sword,weapon
mithril_scimitar,scim,weapon
mithril_longsword,lsword,weapon
mithril_mace,mace,weapon
mithril_battleaxe,baxe,weapon
mithril_warhammer,wham,weapon
mithril_claws,claws,weapon
mithril_2h_sword,sword2h,weapon
mithril_halberd,halberd,weapon
mithril_spear,spear,weapon
mithril_hasta,spear,weapon
mithril_med_helm,helm,head
mithril_full_helm,fhelm,head
mithril_platebody,body,body
mithril_chainbody,chain,body
mithril_platelegs,legs,legs
mithril_plateskirt,skirt,legs
mithril_kiteshield,shield,shield
mithril_sq_shield,sqshield,shield
mithril_defender,defender,shield
mithril_boots,boot,feet
mithril_gauntlets,glove,hands
adamant_hatchet,axe,weapon
adamant_pickaxe,pick,weapon
adamant_dagger,dagger,weapon
adamant_sword,sword,weapon
adamant_scimitar,scim,weapon
adamant_longsword,lsword,weapon
adamant_mace,mace,weapon
adamant_battleaxe,baxe,weapon
adamant_warhammer,wham,weapon
adamant_claws,claws,weapon
adamant_2h_sword,sword2h,weapon
adamant_halberd,halberd,weapon
adamant_spear,spear,weapon
adamant_hasta,spear,weapon
adamant_med_helm,helm,head
adamant_full_helm,fhelm,head
adamant_platebody,body,body
adamant_chainbody,chain,body
adamant_platelegs,legs,legs
adamant_plateskirt,skirt,legs
adamant_kiteshield,shield,shield
adamant_sq_shield,sqshield,shield
adamant_defender,defender,shield
adamant_boots,boot,feet
adamant_gauntlets,glove,hands
rune_hatchet,axe,weapon
rune_pickaxe,pick,weapon
rune_dagger,dagger,weapon
rune_sword,sword,weapon
rune_scimitar,scim,weapon
rune_longsword,lsword,weapon
rune_mace,mace,weapon
rune_battleaxe,baxe,weapon
rune_warhammer,wham,weapon
rune_claws,claws,weapon
rune_2h_sword,sword2h,weapon
rune_halberd,halberd,weapon
rune_spear,spear,weapon
rune_hasta,spear,weapon
rune_med_helm,helm,head
rune_full_helm,fhelm,head
rune_platebody,body,body
rune_chainbody,chain,body
rune_platelegs,legs,legs
rune_plateskirt,skirt,legs
rune_kiteshield,shield,shield
rune_sq_shield,sqshield,shield
rune_defender,defender,shield
rune_boots,boot,feet
rune_gauntlets,glove,hands
white_med_helm,helm,head
white_full_helm,fhelm,head
white_platebody,body,body
white_chainbody,chain,body
white_platelegs,legs,legs
white_plateskirt,skirt,legs
white_kiteshield,shield,shield
white_sq_shield,sqshield,shield
white_boots,boot,feet
white_gauntlets,glove,hands
dragon_hatchet,axe,weapon
dragon_pickaxe,pick,weapon
dragon_dagger,dagger,weapon
dragon_sword,sword,weapon
dragon_scimitar,scim,weapon
dragon_longsword,lsword,weapon
dragon_mace,mace,weapon
dragon_battleaxe,baxe,weapon
dragon_warhammer,wham,weapon
dragon_claws,claws,weapon
dragon_2h_sword,sword2h,weapon
dragon_halberd,halberd,weapon
dragon_spear,spear,weapon
dragon_hasta,spear,weapon
dragon_med_helm,helm,head
dragon_full_helm,fhelm,head
dragon_platebody,body,body
dragon_chainbody,chain,body
dragon_platelegs,legs,legs
dragon_plateskirt,skirt,legs
dragon_kiteshield,shield,shield
dragon_sq_shield,sqshield,shield
dragon_defender,defender,shield
dragon_boots,boot,feet
dragon_gauntlets,glove,hands
shortbow,bow,weapon
longbow,bow,weapon
oak_shortbow,bow,weapon
oak_longbow,bow,weapon
willow_shortbow,bow,weapon
willow_longbow,bow,weapon
maple_shortbow,bow,weapon
maple_longbow,bow,weapon
yew_shortbow,bow,weapon
yew_longbow,bow,weapon
magic_shortbow,bow,weapon
magic_longbow,bow,weapon
bronze_crossbow,cbow,weapon
iron_crossbow,cbow,weapon
steel_crossbow,cbow,weapon
mithril_crossbow,cbow,weapon
adamant_crossbow,cbow,weapon
rune_crossbow,cbow,weapon
dragon_crossbow,cbow,weapon
bronze_arrow,arrow,ammo
iron_arrow,arrow,ammo
steel_arrow,arrow,ammo
mithril_arrow,arrow,ammo
adamant_arrow,arrow,ammo
rune_arrow,arrow,ammo
amethyst_arrow,arrow,ammo
dragon_arrow,arrow,ammo
bronze_bolts,bolt,ammo
iron_bolts,bolt,ammo
steel_bolts,bolt,ammo
mithril_bolts,bolt,ammo
adamant_bolts,bolt,ammo
rune_bolts,bolt,ammo
dragon_bolts,bolt,ammo
diamond_bolts_e,bolt,ammo
bronze_knife,knife,ammo
bronze_dart,dart,ammo
bronze_thrownaxe,axe,ammo
bronze_javelin,spear,ammo
iron_knife,knife,ammo
iron_dart,dart,ammo
iron_thrownaxe,axe,ammo
iron_javelin,spear,ammo
steel_knife,knife,ammo
steel_dart,dart,ammo
steel_thrownaxe,axe,ammo
steel_javelin,spear,ammo
black_knife,knife,ammo
black_dart,dart,ammo
mithril_knife,knife,ammo
mithril_dart,dart,ammo
mithril_thrownaxe,axe,ammo
mithril_javelin,spear,ammo
adamant_knife,knife,ammo
adamant_dart,dart,ammo
adamant_thrownaxe,axe,ammo
adamant_javelin,spear,ammo
rune_knife,knife,ammo
rune_dart,dart,ammo
rune_thrownaxe,axe,ammo
rune_javelin,spear,ammo
dragon_knife,knife,ammo
dragon_dart,dart,ammo
dragon_thrownaxe,axe,ammo
dragon_javelin,spear,ammo
chinchompa,fur,ammo
red_chinchompa,fur,ammo
bronze_arrowtips,arrow,
iron_arrowtips,arrow,
steel_arrowtips,arrow,
mithril_arrowtips,arrow,
adamant_arrowtips,arrow,
rune_arrowtips,arrow,
dragon_arrowtips,arrow,
bronze_bolts_u,bolt,
iron_bolts_u,bolt,
steel_bolts_u,bolt,
mithril_bolts_u,bolt,
adamant_bolts_u,bolt,
rune_bolts_u,bolt,
dragon_bolts_u,bolt,
bronze_dart_tips,dart,
iron_dart_tips,dart,
steel_dart_tips,dart,
black_dart_tips,dart,
mithril_dart_tips,dart,
adamant_dart_tips,dart,
rune_dart_tips,dart,
dragon_dart_tips,dart,
leather_coif,hat,head
leather_body,robe,body
leather_chaps,legs,legs
leather_vambraces,glove,hands
studded_coif,hat,head
studded_body,robe,body
studded_chaps,legs,legs
studded_vambraces,glove,hands
green_dhide_coif,hat,head
green_dhide_body,robe,body
green_dhide_chaps,legs,legs
green_dhide_vambraces,glove,hands
blue_dhide_coif,hat,head
blue_dhide_body,robe,body
blue_dhide_chaps,legs,legs
